AT,AP,AH,AFDP,GTEP,TIT,TAT,CDP,CO,NOX,TEY
6.8594,1007.9,96.799,3.5,19.663,1059.2,550,10.605,3.1547,82.722,114.7
6.785,1008.4,97.118,3.4998,19.728,1059.3,550,10.598,3.2363,82.776,114.72
6.8977,1008.8,95.939,3.4824,19.779,1059.4,549.87,10.601,3.2012,82.468,114.71
7.0569,1009.2,95.249,3.4805,19.792,1059.6,549.99,10.606,3.1923,82.67,114.72
7.3978,1009.7,95.15,3.4976,19.765,1059.7,549.98,10.612,3.2484,82.311,114.72
7.6998,1010.7,92.708,3.5236,19.683,1059.8,549.97,10.626,3.4467,82.409,114.72
7.7901,1011.6,91.983,3.5298,19.659,1060,549.87,10.644,3.4874,82.44,114.71
7.7139,1012.7,91.348,3.5088,19.673,1059.8,549.92,10.656,3.6043,83.01,114.71
7.7975,1013.8,90.196,3.5141,19.634,1060.1,550.09,10.644,3.3943,82.284,114.72
8.082,1015,88.597,4.0612,23.406,1083,550.21,11.679,1.9081,82.782,131.7
8.3047,1016,86.343,4.087,23.747,1085.3,550.2,11.703,1.7118,81.995,133.67
8.4684,1016.1,86.491,4.0513,23.734,1085.1,550.14,11.775,1.4672,80.638,134.24
8.8856,1016.2,82.974,4.0503,23.869,1085.9,550.17,11.864,1.7113,80.533,134.69
9.3714,1016.6,79.98,4.0427,23.916,1085.9,550.09,11.86,1.6637,80.538,134.68
9.7962,1017.1,78.061,4.0613,23.962,1085.9,549.97,11.855,1.4061,80.463,134.68
9.6996,1017.9,76.382,4.0719,23.945,1085.9,549.84,11.85,1.4072,80.522,134.69
9.3111,1018.8,75.559,4.0578,23.89,1085.9,549.72,11.845,1.5193,80.648,134.69
8.6702,1019.8,77.476,4.0727,23.824,1085.9,549.6,11.84,1.4201,80.374,134.69
8.1375,1020.6,79.741,4.0432,23.832,1085.4,549.99,11.835,1.6156,80.639,134.68
7.0396,1021.2,83.102,4.011,23.655,1084.9,550.03,11.83,1.6929,81.223,134.68
6.5345,1021.7,86.253,4.0678,23.801,1085.7,549.87,11.867,1.4975,84.556,134.67
6.4893,1022.2,86.19,4.1476,24.098,1087.6,549.66,12.014,1.343,86.11,133.78
6.4935,1022.4,84.82,4.1916,24.053,1088.1,550.03,11.908,1.3034,86.607,134.11
6.079,1022.8,85.053,3.521,19.259,1057,548.09,10.565,4.6458,105.15,112.8
5.4134,1023.8,84.432,3.8312,21.433,1070.4,548.85,11.186,4.1165,105.73,122.33
